Last Name,Second Names,Nickname,First Name,Title,Image,Image source,Image License,Relationship,Include,Birth,Death,Biography,Priory Guests,Date of First Meeting,Context of First Meeting,Frequency of Contact,McCormack,Rignall,Additional Notes ,# of letters, Appendix ,Sources of Text,
Acton,Dalberg,,John,,john_acton.png,"https://en.wikipedia.org/wiki/File:Picture_of_John_Dalberg-Acton,_1st_Baron_Acton.jpg",Public domain,,x,1834,1902,,Semi-regular,,,,,"69, 79",,,"'I, 'xlvi-xlvii; 'on 'GE and Mazzini, IV, 199; V, 277, on 'Miss Aberdare, Henry Baron, VI, 255 Aberdeen, III, 189 Abergele, Ill, 141Austin ' 'Bruce, ' 1st Leigh, 'V, '314; 'VII, '20, 21'",,
Bain,,,Alexander,,alexander_bain.png,https://en.wikipedia.org/wiki/File:AlexanderBain001.jpg,Public domain,,x,,,Dedicated Positivist; Close relationship with James Sully ,Semi-regular,,,,"20, 58",,,,"II, 126, GHL on, 'III, 127, VI, 218; IV, 192, 266, 446, V, 45, 'VI, 142'",,
Beesly,Spencer,,Edward,,edward_beesly.png,https://en.wikipedia.org/wiki/File:Edward_Spencer_Beesly_National_Portrait_Gallery.jpeg,Public domain,,x,,,Dedicated Positivist; Announced Emily Crompton as his fiancee December 5th 1869,Semi-regular,,,,66-7,21,,,"'III, 238, IV, 192, 215, ' 227, ' 232, ' at ' Congreve ' lecture, '360; '361, '364, '374, '378, '446,. V, 5, 7, 9, 13, 'marries, '40-1; '96, ll8, '385, VI, 234, VII, 260'",,
Blackwood,,,John,,john_blackwood.png,Our files,,,x,1818,1879,,Semi-regular,,,,"74, 76","28-30, 149, 203",,,"II,  427,  436, III, 121, 387,427,  V, 201,  VI, 228,261,274 account of, I, li-liii; relations with brothers, III, 405, 462, IV, !172, V,  !14- 5,  20!1,  VI,  272;  speaks  at  Scott  Centen - ary, V, 182,  VII,  358;  describes  Main, V,206-7,251;ill,248, 330, 4!11; goes toItaly,  269,  296;  on  Forster's Dickens, !130, VI, 28; gives ball for Mary, 19-22; leaves  Strathtyrum,  91-2;  has  new  but- ler, 137; visits Delane at Ascot, 263; ill, 295;  regrets  leaving  Strathtyrum,  !105, 422; Edinburgh house newly furnished, !132;  ill,  339,  !150;  on  Russo-Turkish War, 367; on Willey, !190; has visit from Mrs.  William Smith, 4!14; at   Florence, VII,  25;  his  regime  at  Strathtyrum,  48; health  improving, 68-9; ill again,  147- 8, 152, 163; 172, on the Zulu  War, 181- 2;  ordered  to  quit  desk;  203;  little  -hope of  recovery,  217; dies,  219-20       ' Conventional  propriety II,    297-8,   322,   wants   realism    of ""Janet""  softened,  344-5,  347-8,  445-6; fears  effect  of  GE's name  on Maga, III, 112; 256, 259-60, refuses to pub.  Phy- siology for Schools, 363; 459-60, dislikes GHL's  Hugo  rev.,  IV, 47-50; refuses  to pub. Problems, V, 411; 449, VI, 17 Interest  in sports curling,  III,  237,  241-2,  V,  236, VI, IOI; golf, passion for, I, Iii, II,324, 386, III, 29,  327;  GE sees  JB  play  at  Green - wich,  427,  V,  298; III, 459,  ""a  nasty enteecing   gemm,""  IV,  400;   402,  427, 429, V, 20, 206, 230, ""May  Meeting""  at  St. Andrews, 269, 297, 331, 353, VII, 68- 9; Tom  Morris's  match, V, 421;  VI, 74- 5, before Duke of Connaught, 272; 282,  293;  plays  with  Whyte-Melville, 305-6;361, 367, unable to play, VII, 204 GE and JB understands  GE,  I,  xlviii;  1st letter  to,  II,  283;  agrees  to  incognito,    309; 334,  338,  cordial  relations,  353;  407 -8, suppresses unfavorable comments, 413; meets  GE,  435-6;  439,  442,  ""right  sort of  person  to  deal  with""  GE,  448;  III, 3!1-5,  bonus  on Adam, 69;  72-3,    ll3, GE  has  author's  malady,  ll9;  JB  gives Pug, 121-2, 125,  143;  a  lapse  of tact, 160; 192, negotiations for Mill, 193-4,204-5, 215-9, 222-4, 232-3; JB disgusted with GE, 200; 206, opinion of GE's fine character restored, 235-6; ""By God, she is  a wonderful woman,""  276;  GE  hints vaguely about Romola, 305, tells secret, 314-5; JB wants her photo, 305-6; buys Laurence  portrait,  343;  351,  gives  GE dinner  at   Greenwich,   427;   gives   GE china  pug,  IV,  3;  6,  on  adv.  of  6/  ed., 18;  GE's  defection,  34-6; Romola adv. in Maga, 38;  JB's  interview  with  GE, 44; 62-3,73-4, 76, hopes GEis thinking of  something  new,  ll3;  GE    returns    to her old friend with Felix, 240, 244;  JB approves politics  of Felix, 246; 250, gets Alison  to answer GE's queries, 251;  JB vies in generosity over  American rights, 251-2;  his  letters  brighten  her  depres - sion,  257-8;  266,  284,  his hairdresser admires  Felix,  290,  293;  294,  311,  on Cheap  ed.,  313;  318-9,  buys  copyright for 10 years, 320-1; 327, wants innova- tion  for  next  novel,  352;  GE  confesses  her  Spanish  story  is  a  poem,  354;  366, 370, Cheap ed. a failure, 372; GE  anx- ious  JB not  lose,  373;  374,  393,  GE writes  ""Address  to  Working  Men,""  399-414;  443-4,  457,  459-60,  462, 469, 492,   494-5,   497,   JB   offers   '50  for ""Lisa""  in  Maga, V,  15;  17,  23,  32, 81, will  always  regard  and  esteem  GE,  99; 134, GE invited to Scott Centenary, 144; JB   delighted   with   Bk. 1 of Middle- march, 148;  thinks  plan  of  pub.  right, 168;   alarmed  by     American    reprint plan, 183; 187, enthusiasm for Middle- march  tonic  to GE, 201;  216, 225, 230, 236, gives GE  his photo, 237; 241,  243, 256,  262,  284,  293-4,  306-7,  314, 334, 361-2,  379-80,  387,  402-3,  416, 451-5,VI, 19-23, 27-8, 50-1, 56-8, 87, 91-2, 101,136-7,159,168-9,195-8,222-3,JBpraise like quinine to GE, 228; 231, 239-42,  JB   describes  GE,  253-4,  263; 265-7,  271-3,  281,  GE's  gratitude, 293; JB   says   gossip   about   her   inevitable, 294-6;   offers   '4000   for   another   IO-year   lease,  298;   JB's   error   in   earlier lease,  301-2;    agrees    to    royalty,    305; 351-3,357, 373, JB on Cabinet ed., 397; 414-5,VII, 10-1,32-3,GE plans visit to Strath- tyrum,  41;  defers  it,  45-6;  52,  67-8,70, 81-4, 93-4, 97-8, 107-11,  114,  ll9, 125, 135, 141, 145, 150, 170, 173-4, 181- 3, 190, 196-7,  terms for Theophrastus, 203-4,  206;  208,  on.  JB's  death,  ""my dear  lost  Friend,"" 221 GHL and JB II,   281,  describes  GE  to,  295;  316, 321,  337,  350,  440,  ""homme  de   rela - tions  charmantes,""  497;  III, 4 -5, 8-11, 28-9,  35-6,  39-40,  on  Liggins,  46-7,49,  51-2,  55,  58,  68,  73;  57,  61-2, 72, advises  against  putting  CLL  into  pub - lishing,  73-4;  78,  likes  GHL,  regrets . he cannot marry GE, 94; 127, H5,  183, on   Adam   Bede,  Jr.,  188,  191,   206, 2ll-3; 194, 200, 208,  210, 242-3,   249- 53, 258-9, 266, 268-9, 273, 279,  289-90,306,  308, 322-3,  asks JB's  advice about Thornie, 327 . 330;  332, 335-6,  341,345, 348-9, gives  dinner  for  GHL, 352; on   Physiology   for  Schools,  357,  363; kindness   to  Thornie,  375,  420-1;  380, 385,387,406,430, 434-5,  440-1, 443-6,457-65,  473-4,  IV,  22,  GHL's  voracity over Romola, 38,   44;   GHL   recom- mends  T.  Trollope's  novels  for Maga, 47, V, 4, 18-9;  JB  dislikes GHL's rev. of Hugo, IV, 47; 80, ll2, 137, 289, 325,  400, 405, 416-7, 434, 450-2, 456,  cannot let  Atlantic  pub. Lisa, V, 20; 29, 66-7,79-80,  163-4,  201-2,  234, 246-8, 263-4,290, 298-9, 308, 363-6, reneges on   pub. Problems, 369, 410-ll, 413-5; VI, 42-3,ll4, 205, 210-1, 219, 237-8, 249, 255-6,261-3, GHL suggests Cabinet ed., 345 - 6, JB  on,  349-50; 331-2, 355, 360-1, JB at   Witley,   388-9;   434-5,   VII,   7-9,GHL's  health  prevents   visit  to   Scot - land,  50; on  GHL's  death, 85,  88 See  also  main  entries of  GE's works; Blackwood's Magazine; Liggins;  Politics",,
Blackwood,,,William,,william_blackwood.png,https://en.wikipedia.org/wiki/File:William-Blackwood.jpg,Public domain,,x,,,,,,,,,,,,"IV, 15",,
Bodichon ,,,Eugene (Barbara Leigh Smith),Mme,barbara_bodichon.png,Our files,,,x,1827,1891,Best friend of GE',Regular,,,,"30, 62, 67",31-33,,,"I,  xii,  xviii,  xliv,  xlviii, 1,  account  of,  liii-lv; Bessie writes  her about GE,  II,  9;  16,  30,  32, introduced tQ GE,  40;  of  the  tabooed  family,  45; desire  to  impress  GE, 65;  87, 106, 109, '174, illness, 196; writes GE; her strong, noble nature, 2ll; petition for  MarriedWomen's  Property  Bill,  225-7;  229,  love affair  with  J. Chapman,  255; at Tenby with GE and GHL, 257: goes to Algiers with  father  and  sisters,  267;  plans  to marry  Dr.  Bodichon,  320,  337;  art.  on Algiers for Maga rejected, 337, !145; re- read,  352;  rejected,  361;  ""better  with brush  than  pen,""  338,  351;  relies  on Julia Smith, 341; ""Women and   Work,"" !165;  establishes  Portman  Hall  School, IV,  125:  married  in  London,  377:  and Mme  Mario,  379;  383,  used  GE's  phrase in   ""Women  and  Work"",  396;  long  si- lence e:r;tds, 428; in New York, 430; GE has been  seeing,  483;  returns  to  Algiers, 495guesses  authorship   of   A.dam   Bede, III,  56;  56-7,  visits  GE,  59;  6!1, GHL warns  her  not  to  call  GE  Marian  Evans, 64-5;  66,  79, 88, 99, calls  on  GE,  102; 104,  American  letters,  107,  119; 142, 123, 157, 169, 172, 224-6, 269-71,   309- 10, 3ll, 317, Laurence does her portrait, 331,  333;  GE  gives  advice  on  inscrip - tion,  334;  337,  342..::3, 365-7, 388-9,kindness  to  CLL,  403;  413,  goes  with GE  to  Unitarian  chapel,  442;  lives  at  5 Blandford   Sq.,   439;   444,   Industrial Girls'  School,  446;  GE  invites  for  eve- ning party, 447; 455, in Algiers, 466, IV, 20-1;  30,  45,  introduces  Allingham  to GE, 64; life at Hastings; collects insects for  GHL,  84;  and  Ellen  Allen,  92; IOI, 109, IIS-20, 131-2, 143, 146, 167,  195, 198, 236-7, 266, 362, has Algerian fever, 363;  367,  377-8,  sends  Emily  Davies  to GE,  399;  413,  invites  GE  and  GHL  to visit,  475-6;  487,  493,  GE  reminds  of borrowed shilling, V, 3; 13, 19, 34, 35 - 6,  44-5,  46,  and   F.  P.  Cobbe,  68; 73, 123, 157, 169, 172, 224-6, 269-71,   309- 10, 3ll, 317, Laurence does her portrait, 331,  333;  GE  gives  advice  on  inscrip - tion,  334;  337,  342..::3, 365-7, 388-9,kindness  to  CLL,  403;  413,  goes  with GE  to  Unitarian  chapel,  442;  lives  at  5 Blandford   Sq.,   439;   444,   Industrial Girls'  School,  446;  GE  invites  for  eve- ning party, 447; 455, in Algiers, 466, IV, 20-1;  30,  45,  introduces  Allingham  to GE, 64; life at Hastings; collects insects for  GHL,  84;  and  Ellen  Allen,  92; IOI, 109, IIS-20, 131-2, 143, 146, 167,  195, 198, 236-7, 266, 362, has Algerian fever, 363;  367,  377-8,  sends  Emily  Davies  to GE,  399;  413,  invites  GE  and  GHL  to visit,  475-6;  487,  493,  GE  reminds  of borrowed shilling, V, 3; 13, 19, 34, 35 - 6,  44-5,  46,  and   F.  P.  Cobbe,  68; 73,123, 157, 169, 172, 224-6, 269-71,   309- 10, 3ll, 317, Laurence does her portrait, 331,  333;  GE  gives  advice  on  inscrip - tion,  334;  337,  342..::3, 365-7, 388-9,kindness  to  CLL,  403;  413,  goes  with GE  to  Unitarian  chapel,  442;  lives  at  5 Blandford   Sq.,   439;   444,   Industrial Girls'  School,  446;  GE  invites  for  eve- ning party, 447; 455, in Algiers, 466, IV, 20-1;  30,  45,  introduces  Allingham  to GE, 64; life at Hastings; collects insects for  GHL,  84;  and  Ellen  Allen,  92; IOI, 109, IIS-20, 131-2, 143, 146, 167,  195, 198, 236-7, 266, 362, has Algerian fever, 363;  367,  377-8,  sends  Emily  Davies  to GE,  399;  413,  invites  GE  and  GHL  to visit,  475-6;  487,  493,  GE  reminds  of borrowed shilling, V, 3; 13, 19, 34, 35 - 6,  44-5,  46,  and   F.  P.  Cobbe,  68; 73, sends GE basket, 74,flowers and grapes, 77; and Rossetti, 78, 104-5, GE on the war, 113; 117, GE regrets talking of friend's faults, 123; 125, GE visits at Swanmore, 126; 127, 131, 134, 135, 143, 152-3, 166, visits GE at Shottermill, 178-9; 180, 181, and GHL, 225; 233, 276-7, 289,291, 343-4, 347, 428-9, 457-8, 467, VI, 13, 43, goes to play with GE, 51; 84, 69-70, 90, 93, 119, 161-2, 185, 235-6, 251-2, 280, on Deronda, 290; 311, and Norman Moore, 320; invited to hear Tennyson read, 358; 360, 364, and Mme Mario, 367; 36, 373, on GE's visit to Girton, 374; 376, has stroke, 391; recovering, 392; writes with own hang, 398-9; 408, at Hastings, 419-20; 424, 429, 438, wats Witley house for spring, VII, 5-7; 12-3, 15-6, at Priory, 24-5; 36, 59,70-1, 85, 93, 1000, 101, 113, invited to Witley, 128; 143-4, 146, visits GE, 159; GE sends draft of Studentship, 176; 183-4, 194-5, visits. GE at Witley, 200, 202; 201, 214-5, 247-8, 254, 265, GE writes of her marriage, 268-9, forgets to  post letter, 293-4; Barbara sends good wishes, 272-3; 282, 290, 307-8, GE cannot visit, 314; 321-2, 332, Barbara has partial relapse, 348 education, founds Portman Hall School, III, 333; Westminster Infant School, 333; Girton College, I, Iiv, II, 13, III, 331, IV, 399, 401, 425, V, 57, 153, 406, VI, 83, 97, 161, Letters from America , III, 107, 119, 142, 224 Letters from Spain, GE leaves at Mme Mohl's, IV, 328; GE proposes to send to Pall Mall, 329; 338-9, 351 painting, taught by Hunt, I, Iiv; lends GE some paintings, II, 144-5; Ruskin praises her work, 254-5; III, 108, 124, 128, 134, exhibition at French Gallery, 402; IV, 14, 1st oils, 23; V, 70, VI, 82-3, VII, 241 and Thornie, recommends Natal for Thornie, IV, 107; 140-3; Thornie sends regards to, 142; comes twice a week ",,
Bray,,,Charles,*family--need to look up,charles_bray.png,Our files,,,x,1811,1884,Coventry friends who accompanied GE in Switzerland (1849),,,,,"51, 64","37, 39",,,"account  of, I,  lv-lix;  lxxv, 158, 164, 183, 187, 190-1, 19!1-4, 197, 201, 207-8, 2ll,  214,  has  cholera,  223;  buys  Cov; entry Herald, 224; 229, 231, 236, 243,266-8,  284-5,  304,  328,  344,  346, 348, 350,  354,  357,  359,  362-4,  370,    374, birthday,  II,  8;  10.:.I, 13-4,  17,  22, 29- 30,  35,  43,  57,  84,  92-7,  102-3,   110, 128,  144-7,  wedding  anniversary,  153; 155, 160, 164-5, 187, 191, 203, 205, 209, 2ll, 230, sells Rosehill, 234; 256, 264-5,284,  301,  moves  to  Ivy  Cottage,   302, 314;  320,  329, goes  to  Handel Festival,  338-9,  Mrs.  Cash  on,  340;  388-9, 412, 415, 423, 483, 486, III, 16, 27, 71,  plans joke  book,  136,  214,  241,  builds  house at  Sydenham,  3II,  IV,  87;    III,    322,  338,  leaves  Ivy  Cottage  for  Barr's  Hill Terrace,  Coventry,  445;  467, 469, IV, 77-8, 90-1, 125, 136, 147, 149, 157,  159, 169,  184, 193, 198,  210,  213,  232, 268, 296, 298, 314, 356, lets Coventry  house,  360, 363; 4ll, V, 9, 54-5, II5,   131-2,217,  226,  232,  279,  433,  472,  asthma, VI,  92, 94,  VII,  37;  VI, 192,  283, sells  Ivy Cottage, 352; 419, VII, 62, 124,   341 GE and Charles Bray I,   xlix,   GE   meets,   120;   reads   his Philosophy  of  Necessity, I,  124;  Bray makes  phrenological  readings  of  GE, 126, 265; 154, takes  GE  to  Tenby, 160, to  London  for  Rufa's  wedding,  163,  to Lakes, 178; 167, 175, has cast made of  GE's  head, 178;  180, 195,  takes  GE  to Scotland,   199-200,   to  London,  232; 283-4,   takes   GE   abroad,   289;  sends passport,  292:  307,  310,  sends  Herald, 315;  324,  GE  lives  at  Rosehill,  336 -7; 342,  gives  up  his  study  to  GE,  355; takes GE  to London, 365; 366 -7,  373, II,  34,  39-40,  44,  46,  comes  to Broad- stairs,  50;  56,  61,  73,  walks    to    station to  see  GE,  79;  sends Herald, 80;  GE's affection  for,  81-2;  helps  GE  move,  83; GE  recuperates  at  Rosehill,    99;    II5,  ll7,  ll9,  sends  GE  bookcase,  122,  125; 140, 148, sees GEin London, 158; spends day  with  GE,  161;  advances'  money  to GE,  165, 184;  GE  writes  from  Weimar, 170;  GE  confided  facts  of  her  relation  to  GHL  only  to  Bray  and  Chapman, 179,  181-2,  183,  VII,  387;  advises GE on  business,  II,  197:  warned  not  to  mis - quote    GE's    remark    on    GHL,    199;  lends  Scott's  novels,    201,    215;    visits GE,  204;  guesses  authorship  of  ""Cum- ming""   article,   218;   GE   gives   GHL's Goethe to,  221;  invites  GE  to  stop  at Rosehill,  224;    GE    offershim    a    bed, 234; 237, 252, 259-60, visits GE,   261-2,269; GE refuses to visit Rosehill, 279; visits GE at Richmond, 287; 306, sus- pects GE of writing a novel, 443; 490, 505,  sends  GE  oysters,  510;  5ll,  III, 87,  GE  reveals  incognito  to, 90; 91, GE gives Bray Scenes and Adam, 121; calls  R.  Evans  a  ""mere  farmer,""  168; 180-1,  210,  326-7,  GE  subscribes  to 2d  ed. Philosophy  of  Necessity, 437; IV, 86, 168, 173, 178, 206, 233,   371,477,  reads,  Spanish  Gypsy,  491, Jubal, V, 98, Middlemarch, 265 GHL  and  Charles Bray everything  GE  writes  Brays  gets  to GHL,  II,  54;  268,  thinks  GHL    knows no   phrenology,   401;   invites   GHL   to  visit  Coventry,  III,  439;  on Problems, VI, 425, VII, 342 Others Bracebridge,  Ill,  IIO,  155,  158,  162 - 5;  Harry  Bray,  II,  ll2,  IV,  208;  Chap- man,   I,   371,   II,   53-5,   64,   67,   81;  Combe,  479;  Dawson,  I,  243,  II,  II3; Emerson,  I,  271;  Froude,  299;  thinks Frank    Hennell    spoiled,    347;    Mary Hennell,  148;  Sara  Hennell,  II,  19,  III, 94;  Mrs.  Thornton  Hunt,  I,  352;  Kos - suth,  373;  Eliza  Lynn,  II,  12;  H.  Mar- tineau,  I,  188;  F.  D.  Maurice,  II,  125; Robert  Owen,  I,  161;  E. H.   Noel,  II,  71, 105, 142; Spencer, 37, 263, IV,  66; Anna Swanwick, II, 25 Business prosperous,    I,    Iv;    buys  Coventry Herald, 224;  losses, 312; financial  diffi- culties, 322,  II,   20,  31,  82,  II3,  149, 150,   156,   232-3;    suggests      investment to  GE,  188;  retires  from  business,  234; rival   paper,   483;   recommends   invest_ment  to   GHL,   III,   120;   fined    '150 for  libel, !123; GE  offers  to  lend '100, Business (continued) !125; !146, !154, !177, !191, 405; lets house,IV,  87,  107,  11!1,  198;  sells  Ivy Cot- tage, VI, !152 Music I,  155;  II,  67, VI, 425 Reforms I,    157;    Coventry    Labourers'    and Artisans'    Society,    165;    City      Mission, II,   16;  enclosure,   225;  secular  educa- tion,  20,  28, III, 446;  free  speech, II, 26, 186; housing, 1!15; Sunday openings, !1!10; unpopularity, 500; disapproves  of charity, IV, 72; opposes ballot, 496 Sydenham,  Bray's  house at builds  Charleston  Villa, Ill, 68, !Ill; offers itto ""GE, !1!17; !14!1-4, IV, 89, 11!1,144-5,  147,  19!1, !112, !145, !160, 477, 490, V, !199, VI,  40-1, 94, 220-1,  !121, !152, VII, 29-!IO, !16, 61, 189 Writings The     Education    of     the     Feelings (1838),  2d  ed.  (1849),  I,  !118, !Id  ed. (1860), Ill, !124, 4th ed. (1872), V,329;Illusion  and  Delusion (187!1),  !199-400; Industrial   Employment   of   Women, 11, 396;    ""Our      Monetary      System,""      414; The   Philosophy   of   Necessity (2   vols., 1841),  I,  xliv,  lv;  Benthamism  in,  127; and  R.  Owen, 161;  II,  18, 402, revises, 440; 2d ed. (1863), lll, 4!17 See   also Clairvoyance;   Phrenology; Spiritualism;    Women,  suffrage",,
Bray,Hennell,Cara,Caroline,,caroline_bray.png,Our files,,,x,1814,1905,,,,,,,"25, 35-6",,,"III, 157",,
Buchanan,,,Robert,,,,,,x,,,Falling out with Lewes over comments regarding Pre-Raphaelites; Harsh conclusions about the Priory,Semi-regular,1860s,,,9,,,,"lunches at Priory, IV, 122; just mar' ried, 129; ""David Gray,"" 135-6; as hack writer, 136; 501, GHL breaks with, VII, 89; on GHL (Examiner), 156 ",,
Burne-Jones,MacDonald,,Georgiana,,georgiana_burne_jones.png,Our files,,,x,,,Pre-Raphaelite association,Semi-regular,,,,60,44,,,"I, xviii, xlvi, lix, V, 3, 45, 57, 77, 101, 103-4, 105-6, 108; joins GE at Whitby with her children, 110; 143, 249, 391; studies Latin with Andrieu, VI, 72-3; 142, 254; at Priory, 345; GE calls ""Mignon"", 364-5; GE withdraws suggestion they spend Christmas with, 430; VII, 15; and Andrieu, 17; 21, 63, 78, 100--1, GE sees, 117, 124, visits GE, 146; 157, 174-5, 184,   192, 209, 212-3, 222, 223, 245,  258, GE sees for last time, 263-4; GE tells of her marriage, 269-70, 272, 294, 299, 320; writes GE, 321, 336; on GE's death, 350",,
