FullName,Links,Closeness,Image,Relationship,Gender
"Beesly, Edward Spencer (1831-1915)",https://en.wikipedia.org/wiki/Edward_Spencer_Beesly,8,edward_spencebeesly.png,friend,M
"Blackwood, John (1818-1879)",https://en.wikipedia.org/wiki/John_Blackwood_(publisher),3,john_blackwood.png,friend,M
"Blackwood, William (1776-1834)",https://en.wikipedia.org/wiki/William_Blackwood,9,william_blackwood.png,friend,M
"Bodichon, Barbara Leigh Smith (1827-1891)",https://en.wikipedia.org/wiki/Barbara_Bodichon,2,barbara_bodichon.png,friend,F
"Brabant, Robert Herbert (1781-1866)",,4,robert_brabant.png,friend,M
"Bray, Caroline Cara' Hennell (1814-1905)'",https://en.wikipedia.org/wiki/Caroline_Bray,3,caroline_bray.png,friend,F
"Bray, Charles (1811-1894)",https://en.wikipedia.org/wiki/Charles_Bray,3,charles_bray.png,friend,M
"Browning, Oscar (1837-1923)",https://en.wikipedia.org/wiki/Oscar_Browning,6,oscar_browning.png,friend,M
"Browning, Robert (1812-1889)",https://en.wikipedia.org/wiki/Robert_Browning,8,robert_browning.png,friend,M
"Burne-Jones, Edward Coley (1833-1898)",https://en.wikipedia.org/wiki/Edward_Burne-Jones,6,edward_coleyburnejones.png,friend,M
"Burne-Jones, Georgiana (1840-1920)",https://en.wikipedia.org/wiki/Georgiana_Burne-Jones,3,georgiana_burne_jones.png,friend,F
"Burton, Frederic William (1816-1900)",https://en.wikipedia.org/wiki/Frederic_William_Burton,6,frederic_burton.png,friend,M
"Call, Elizabeth Rebecca [nee Brabant]
",,5,elizabeth_call.jpg,friend,F
"Call, Wathen Mark Wilks (1817 -- 1890)",,7,,friend,M
"Carlyle, Jane Welsh (1801-1866)",,7,janewelsh.png,friend,F
"Carlyle, Thomas (1795-1881)",https://en.wikipedia.org/wiki/Thomas_Carlyle,7,thomas_carlyle.png,friend,M
"Cash, Mary Sibree",,6,,friend,F
"Chapman, John (1821-1894)","https://en.wikipedia.org/wiki/John_Chapman_(publisher)#:~:text=John%20Chapman%20(16%20June%201821,under%20the%20name%20George%20Eliot.",3,john_chapman.png,friend,M
"Chapman, Susanna Brewitt",,8,susanna_chapman.jpg,friend,F
"Clark, Andrew (1826-1893)","https://en.wikipedia.org/wiki/Sir_Andrew_Clark,_1st_Baronet",7,andrew_clark.png,friend,M
"Clarke, Christiana Evans (1814-1859)",,3,Christiana_Evans_Clarke.png,family,F
"Clarke, Edward (1809-1852)",,8,,family,M
"Clarke, Emily Susanna (1844-1924)",,4,emily_clarke.png,family,F
"Combe, George (1788-1858)",https://en.wikipedia.org/wiki/George_Combe,5,george_combe.png,friend,M
"Congreve, Maria Bury (1846-1915)",,2,,friend,F
"Congreve, Richard (1818-1899)",,5,richard_congreve.png,friend,M
"Cross, Anna Chalmers Wood (1813-1878)",,4,,family,F
"Cross, Eleanor (1847 - 1895)",,4,,family,F
"Cross, Emily Helen (1848-1907)",,4,,family,F
"Cross, Florence Nightingale (1857-1915)",,3,,family,F
"Cross, John Walter (1840-1924)",,1,john_cross.png,family,M
"Cross, Mary Finlay (1843-1902)",,4,,family,F
"Cross, William (1838-1916)",,5,,family,M
"Dalberg-Acton, John Emerich Edward (1834-1902)","https://en.wikipedia.org/wiki/John_Dalberg-Acton,_1st_Baron_Acton ",7,john_dalbergacton.png,friend,M
"D'Albert-Durade, Francois (1804-1886)",,3,d'albert_francois.png,friend,M
"D'Albert-Durade, Julie Covelle (1800-1880)",,4,,friend,F
"Davies, Emily (1830-1921)",https://en.wikipedia.org/wiki/Emily_Davies,4,emily_davies.png,friend,F
"Deutsch, Emanuel Oscar Menahem (1829-1873)",,6,,friend,M
"Dickens, Charles (1812-1870)",,7,charles_dickens.png,friend,M
"Druce, Anna Bowling Buchanan (1841-1921)",,4,,family,F
"Evans, Christiana Pearson (1788-1836)",,4,,family,F
"Evans, Elizabeth Tomlinson (1766-1849)",,5,Elizabeth_Evans_223.jpg,family,F
"Evans, Harriet (d. 1809)",,9,,family,F
"Evans, Isaac Pearson (1816-1890)",,2,isaac_evans.png,family,M
"Evans, Robert (1773-1849)",,2,robert_evans.png,family,M
"Evans, Samuel (1777 - 1858)",,5,samuel_evans.png,family,M
"Evans, Sarah Rowlins ",,5,,family,F
"Faucit, Helen (1817-1898)",https://en.wikipedia.org/wiki/Helena_Faucit,6,helen_faucit.png,friend,F
"Fields, Annie Adams (1834-1915)",https://en.wikipedia.org/wiki/Annie_Adams_Fields,8,annie_adamsfields.png,friend,F
"Fields, James (1817-1881)",,8,james_fields.png,friend,M
"Froude, James Anthony (1818-1894)",https://en.wikipedia.org/wiki/James_Anthony_Froude,9,james_froude.png,friend,M
"Gaskell, Elizabeth Cleghorn (1810-1865)",,9,elizabeth_cleghorngaskell.png,friend,F
"Gurney, Edmund (1847-1888)",https://en.wikipedia.org/wiki/Edmund_Gurney,5,edmund_gurney.png,friend,M
"Hamley, Edward Bruce (1824-1894)",https://en.wikipedia.org/wiki/Edward_Bruce_Hamley,9,edward_brucehamley.png,friend,M
"Harrison, Ethel Bertha (1851-1916)",https://en.wikipedia.org/wiki/Ethel_Bertha_Harrison,7,ethel_harrison.png,friend,F
"Harrison, Frederic (1831-1923)",https://en.wikipedia.org/wiki/Frederic_Harrison,7,frederic_harrison.png,friend,M
"Helps, Alice",,4,,friend,F
"Helps, Arthur (1813-1875)",https://en.wikipedia.org/wiki/Arthur_Helps,7,arthur_helps.png,friend,M
"Hennell, Charles Christian (1809-1850)",https://en.wikipedia.org/wiki/Charles_Christian_Hennell,4,charles_hennell.png,friend,M
"Hennell, Sara Sophia (1812-1899)",https://en.wikipedia.org/wiki/Sara_Hennell,2,sara_hennell.png,friend,F
"Hill, Octavia (1838-1912)",https://en.wikipedia.org/wiki/Octavia_Hill,6,octavia_hill.png,friend,F
"Houghton, Fanny Evans (1805-1882)",,4,,family,F
"Houghton, Henry",,8,,family,M
"Hunt, Thornton Leigh (1810-1873)",https://en.wikipedia.org/wiki/Thornton_Leigh_Hunt,7,thornton_hunt.png,friend,M
"Huxley, Thomas Henry (1825-1895)",https://en.wikipedia.org/wiki/Thomas_Henry_Huxley,8,thomas_henryhuxley.png,friend,M
"Jackson, Martha Patty"" """,,5,,friend,F
"Jones, Owen (1809-1874)",,7,owen_jones.png,friend,M
"Jowett, Benjamin (1817-1893)",https://en.wikipedia.org/wiki/Benjamin_Jowett,5,benjamin_jowett.png,friend,M
"Langford, Joseph Munt (1809-1844)",,8,,friend,M
"Laurence, Samuel (1812-1844)",https://en.wikipedia.org/wiki/Samuel_Laurence,8,samuel_laurence.png,friend,M
"Lehmann, Frederick (1826-1891)",,6,frederick_lehmann.png,friend,M
"Lehmann, Nina (1830-1903)",,6,,friend,F
"Leighton, Frederick (1830-1896)",https://en.wikipedia.org/wiki/Frederic_Leighton,5,frederic_leighton.png,friend,M
"Lewes, Agnes Jervis (1822-1902)",,5,agnes_jervis_lewes.png,family,F
"Lewes, Blanche Southwood (1872-1964)",,5,,family,F
"Lewes, Charles (Sr.) (1740-1803)",,2,charles_lewes.png,family,M
"Lewes, Charles Lee (1842-1891)",https://en.wikipedia.org/wiki/Charles_Lee_Lewes,2,charles_leelewes.png,family,M
"Lewes, Elizabeth Ashweek Willim (1787-1870)",,4,,family,F
"Lewes, George Henry (1817-1878)",https://en.wikipedia.org/wiki/George_Henry_Lewes,1,george_henry_lewes.png,family,M
"Lewes, Gertrude Hill (1837-1918)",,4,,family,F
"Lewes, Herbert Bertie"" Arthur (1846-1875)""",,4,,family,M
"Lewes, Thornton Thornie"" Arnott (1844-1869)""",,2,thornton_lewes.png,family,M
"Lewis, Maria (1800-1887)",,4,,friend,F
"Liggins, Joseph (1800-1872)",,9,,friend,M
"Linton, Eliza Lynn (1822-1898)",https://en.wikipedia.org/wiki/Eliza_Lynn_Linton,4,linton.png,friend,F
"Bulwer-Lytton, Edward George (1803-1873)",https://en.wikipedia.org/wiki/Edward_Bulwer-Lytton,7,edward_lytton.png,friend,M
"Main, Alexander (1841-1918)",,5,alexander_bain.png,friend,M
"Martineau, Harriet (1802-1876)",,6,harriet_martineau.png,friend,F
"Martineau, James (1805-1900)",https://en.wikipedia.org/wiki/James_Martineau,9,james_martineau.png,friend,M
"Mill, John Stuart (1806-1873)",,8,john_stuartmill.png,friend,M
"Milnes, Richard Monckton [Baron Houghton] (1809-1885)",https://en.wikipedia.org/wiki/Charles_Eliot_Norton,5,richard_moncktonmilnes.png,friend,M
"Morley, John (1838-1923)",,7,john_morley.png,friend,M
"Muller, Friedrich Max (1823-1900)",https://en.wikipedia.org/wiki/Max_M%C3%BCller,10,Muller_Friedrich_Max.jpg,friend,M
"Myers, Frederic William Henry (1843-1901)",https://en.wikipedia.org/wiki/Frederic_W._H._Myers,6,frederic_williamhenrymyers.png,friend,M
"Newdigate, Francis Parker (1774-1862)",,9,francis_newdigate.png,friend,M
"Nightingale, Florence (1820-1910)",https://en.wikipedia.org/wiki/Florence_Nightingale,7,florence_nightingale.png,friend,F
"Norton, Charles Eliot (1827-1908)",https://en.wikipedia.org/wiki/Charles_Eliot_Norton,7,charles_eliotnorton.png,friend,M
"Owen, Richard (1804-1892)",https://en.wikipedia.org/wiki/Richard_Owen,7,richard_owen.png,friend,M
"Paget, James (1814-1899)",https://en.wikipedia.org/wiki/James_Paget,4,james_paget.png,friend,M
"Parkes, Elizabeth Bessie"" Rayner (1829-1924)""","https://en.wikipedia.org/wiki/Bessie_Rayner_Parkes#:~:text=Elizabeth%20Rayner%20Belloc%20(nee%20Parkes,a%20poet%2C%20essayist%20and%20journalist.",3,bessie_parkes.png,friend,F
"Parkes, Joseph (1796-1865)",,5,,friend,M
"Pattison, Mark (1813-1884)",https://en.wikipedia.org/wiki/Mark_Pattison_(academic),8,mark_pattison.png,friend,M
"Pigott, Edward Frederik Smyth (1824-1895)",,9,smythpigott.png,friend,M
"Ponsonby, Mary Elizabeth (1832-1916)",,5,maryposonby.png,friend,F
"Ritchie, Anne Isabella (1837-1919)",,10,anne_ritchie.png,friend,F
"Senior, Jane Elizabeth (1828-1877)",,5,janesenior.png,friend,F
"Sibree, John (1795-1877)",,4,JohnSibreetal.png,friend,M
"Sidgwick, Henry (1838-1900)",,4,henry_sidgwick.png,friend,M
"Simcox, Edith (1844-1901)",,3,,friend,F
"Simpson, George ",,9,,friend,M
"Smith, George Barnett (1841-1909)",https://en.wikipedia.org/wiki/George_Barnett_Smith,5,george_barnettsmith.png,friend,M
"Spencer, Herbert (1820-1903)",https://en.wikipedia.org/wiki/Herbert_Spencer,2,herbert_spencer.png,friend,M
"Stoddard, Charles Warren (1843-1909)",https://en.wikipedia.org/wiki/Charles_Warren_Stoddard,9,charles_warrenstoddard.png,friend,M
"Stowe, Harriet Beecher (1811-1896)",https://en.wikipedia.org/wiki/Harriet_Beecher_Stowe,5,harriet_beecher_stowe.png,friend,F
"Stuart, Elma (1837-1903)",,3,elma_stuart.png,friend,F
"Taylor, Clementia (1810-1908)",,5,mentia-taylor.jpg,friend,F
"Tennyson, Alfred (1809-1892)","https://en.wikipedia.org/wiki/Alfred,_Lord_Tennyson",5,alfred_tennyson.png,friend,M
"Tennyson, Eleanor Bertha Mary",,7,eleanortennyson.png,friend,F
"Trollope, Anthony (1815-1882)",https://en.wikipedia.org/wiki/Anthony_Trollope,5,anthony_trollope.png,friend,M
"Trollope, Thomas Adolphus (1810-1892)",https://en.wikipedia.org/wiki/Thomas_Adolphus_Trollope,4,Thomas_Trollope.jpg,friend,M
"Tyndall, John (1820-1893)",https://en.wikipedia.org/wiki/John_Tyndall,6,john_tyndall.png,friend,M
"Varnhagen von Ense, Karl August (1785-1858)",https://en.wikipedia.org/wiki/Karl_August_Varnhagen_von_Ense,6,karl_varnhagenvonense.png,friend,M
"Ward, Elizabeth Stuart Phelps (1844-1911)",,6,elizabeth_stuartphelpsward.png,friend,F
"White, William Hale (1831-1919)",https://en.wikipedia.org/wiki/Hale_White,4,william_hale_white.png,friend,M
"Bulwer-Lytton, Robert  (1831-1891)",,8,Robert_Bulwer-Lytton_b.jpg,friend,M
